numero;despacho;data
112015032886;9.1;2022-01-11
112016000265;9.1;2022-01-11
112016000651;9.1;2022-01-25
112016000822;9.1;2022-01-11
112016000832;9.1;2022-01-25
112016000990;9.1;2022-01-11
112016001613;9.2;2022-01-25
112016001638;11.2;2022-01-18
112016002189;9.1;2022-01-11
112016002635;9.1;2022-01-04
112016002684;9.2;2022-01-18
112016002808;9.1;2022-01-11
112016002898;9.1;2022-01-11
112016003101;9.1;2022-01-18
112016003464;9.2;2022-01-18
112016003526;9.1;2022-01-18
112016003563;9.1;2022-01-18
112016003962;9.1;2022-01-18
112016004320;9.1;2022-01-11
112016004570;9.1;2022-01-11
112016004849;9.1;2022-01-18
112016004937;9.2;2022-01-11
112016005435;9.1;2022-01-04
112016005571;9.1;2022-01-18
112016005671;9.1;2022-01-25
112016005807;9.1;2022-01-18
112016005991;9.1;2022-01-18
112016006020;9.1;2022-01-18
112016006226;9.2;2022-01-11
112016006271;9.1;2022-01-11
112016006335;9.1;2022-01-11
112016006417;9.1;2022-01-18
112016007197;9.2;2022-01-25
112016007234;9.1;2022-01-04
112016007368;9.1;2022-01-04
112016007376;9.2;2022-01-04
112016008164;9.2;2022-01-11
112016008278;9.2;2022-01-11
112016008336;9.2;2022-01-18
112016008469;11.2;2022-01-25
112016008817;9.1;2022-01-25
112016008932;9.1;2022-01-18
112016009023;9.1;2022-01-11
112016009122;9.1;2022-01-04
112016009124;9.1;2022-01-18
112016009182;9.1;2022-01-25
112016009245;9.1;2022-01-04
112016009844;9.1;2022-01-04
112016009925;9.2;2022-01-11
112016010082;9.2;2022-01-25
112016010099;9.1;2022-01-11
112016010266;9.1;2022-01-04
112016011161;9.1;2022-01-25
112016011200;9.1;2022-01-18
112016011555;9.1;2022-01-11
112016012137;9.1;2022-01-11
112016012141;11.2;2022-01-04
112016012491;9.1;2022-01-25
112016013189;9.1;2022-01-18
112016013340;9.1;2022-01-18
112016013434;9.2;2022-01-11
112016013687;9.2;2022-01-25
112016013700;9.1;2022-01-04
112016013741;11.2;2022-01-04
112016013876;9.1;2022-01-25
112016013896;11.2;2022-01-04
112016014184;9.2;2022-01-11
112016014301;9.1;2022-01-04
112016014308;9.1;2022-01-04
112016014949;9.1;2022-01-11
112016015049;9.1;2022-01-11
112016015071;9.1;2022-01-04
112016015216;9.1;2022-01-25
